"","CU_ID","Species","Stock","Label","Year","Metric","Compare","LBM","UBM","Status","DataType","Value"
"88","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2001,"AbsLBM",7201.05913673889,1000,10000,"Amber","Abs_Abd",7.20105913673889
"89","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2002,"AbsLBM",8311.65178675943,1000,10000,"Amber","Abs_Abd",8.31165178675943
"90","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2003,"AbsLBM",7702.83560524898,1000,10000,"Amber","Abs_Abd",7.70283560524898
"91","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2004,"AbsLBM",4009.29036766521,1000,10000,"Amber","Abs_Abd",4.00929036766521
"92","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2005,"AbsLBM",3001.86633549093,1000,10000,"Amber","Abs_Abd",3.00186633549093
"93","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2006,"AbsLBM",1927.0922289153,1000,10000,"Amber","Abs_Abd",1.9270922289153
"94","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2007,"AbsLBM",1483.19804933128,1000,10000,"Amber","Abs_Abd",1.48319804933128
"95","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2008,"AbsLBM",1421.7359616771,1000,10000,"Amber","Abs_Abd",1.4217359616771
"96","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2009,"AbsLBM",1412.86008084696,1000,10000,"Amber","Abs_Abd",1.41286008084696
"97","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2010,"AbsLBM",2184.79769142453,1000,10000,"Amber","Abs_Abd",2.18479769142453
"98","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2011,"AbsLBM",2555.45839298013,1000,10000,"Amber","Abs_Abd",2.55545839298013
"99","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2012,"AbsLBM",1343.03752054602,1000,10000,"Amber","Abs_Abd",1.34303752054602
"100","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2013,"AbsLBM",1579.17981461111,1000,10000,"Amber","Abs_Abd",1.57917981461111
"101","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2014,"AbsLBM",1716.02704101389,1000,10000,"Amber","Abs_Abd",1.71602704101389
"102","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2015,"AbsLBM",1655.61213175876,1000,10000,"Amber","Abs_Abd",1.65561213175876
"103","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2016,"AbsLBM",2065.75877649436,1000,10000,"Amber","Abs_Abd",2.06575877649436
"104","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2017,"AbsLBM",1083.40763793375,1000,10000,"Amber","Abs_Abd",1.08340763793375
"105","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2018,"AbsLBM",1000.39273414402,1000,10000,"Amber","Abs_Abd",1.00039273414402
"106","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2019,"AbsLBM",275.880235064546,1000,10000,"Red","Abs_Abd",0.275880235064546
"107","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2020,"AbsLBM",343.57866560535,1000,10000,"Red","Abs_Abd",0.34357866560535
"108","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2021,"AbsLBM",646.832503531879,1000,10000,"Red","Abs_Abd",0.646832503531879
"109","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",1995,"RelLBM",499766.230151814,72471,379321,"Green","Abs_Abd",6.89608574673751
"110","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",1996,"RelLBM",579719.967331859,72471,379321,"Green","Abs_Abd",7.99933721532557
"111","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",1997,"RelLBM",655506.693862937,72471,379321,"Green","Abs_Abd",9.04508967535893
"112","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",1998,"RelLBM",763509.003593914,72471,379321,"Green","Abs_Abd",10.5353728193886
"113","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",1999,"RelLBM",870233.335917959,72471,379321,"Green","Abs_Abd",12.0080216351086
"114","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2000,"RelLBM",821014.246421014,72471,379321,"Green","Abs_Abd",11.3288659797852
"115","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2001,"RelLBM",758580.501406623,72471,379321,"Green","Abs_Abd",10.467366276257
"116","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2002,"RelLBM",629879.09993825,72471,379321,"Green","Abs_Abd",8.69146417102358
"117","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2003,"RelLBM",577710.889476245,72471,379321,"Green","Abs_Abd",7.97161470762436
"118","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2004,"RelLBM",342378.323378229,72471,379321,"Amber","Abs_Abd",4.72434937255218
"119","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2005,"RelLBM",325308.580603106,72471,379321,"Amber","Abs_Abd",4.48881042904204
"120","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2006,"RelLBM",340193.234685563,72471,379321,"Amber","Abs_Abd",4.69419815768463
"121","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2007,"RelLBM",285126.301293136,72471,379321,"Amber","Abs_Abd",3.93435030968437
"122","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2008,"RelLBM",313272.930077511,72471,379321,"Amber","Abs_Abd",4.32273502611405
"123","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2009,"RelLBM",248631.528270972,72471,379321,"Amber","Abs_Abd",3.43077269902405
"124","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2010,"RelLBM",365117.373552459,72471,379321,"Amber","Abs_Abd",5.03811695095223
"125","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2011,"RelLBM",459080.56840358,72471,379321,"Green","Abs_Abd",6.33467964294104
"126","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2012,"RelLBM",485173.273985095,72471,379321,"Green","Abs_Abd",6.69472304763416
"127","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2013,"RelLBM",745416.504955814,72471,379321,"Green","Abs_Abd",10.2857212534091
"128","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2014,"RelLBM",621358.507196018,72471,379321,"Green","Abs_Abd",8.5738917249109
"129","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2015,"RelLBM",600736.426184843,72471,379321,"Green","Abs_Abd",8.28933540567735
"130","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2016,"RelLBM",571585.683009714,72471,379321,"Green","Abs_Abd",7.88709529342377
"131","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2017,"RelLBM",423343.187028736,72471,379321,"Green","Abs_Abd",5.84155299400775
"132","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2018,"RelLBM",371696.738782589,72471,379321,"Amber","Abs_Abd",5.12890313066729
"133","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2019,"RelLBM",263837.322794912,72471,379321,"Amber","Abs_Abd",3.64059172351578
"134","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2020,"RelLBM",207497.244115869,72471,379321,"Amber","Abs_Abd",2.86317622381186
"135","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2021,"RelLBM",261578.895048439,72471,379321,"Amber","Abs_Abd",3.60942853070109
"136","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",1995,"AbsLBM",499766.230151814,1000,10000,"Green","Abs_Abd",499.766230151814
"137","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",1996,"AbsLBM",579719.967331859,1000,10000,"Green","Abs_Abd",579.719967331859
"138","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",1997,"AbsLBM",655506.693862937,1000,10000,"Green","Abs_Abd",655.506693862937
"139","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",1998,"AbsLBM",763509.003593914,1000,10000,"Green","Abs_Abd",763.509003593914
"140","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",1999,"AbsLBM",870233.335917959,1000,10000,"Green","Abs_Abd",870.233335917959
"141","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2000,"AbsLBM",821014.246421014,1000,10000,"Green","Abs_Abd",821.014246421014
"142","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2001,"AbsLBM",758580.501406623,1000,10000,"Green","Abs_Abd",758.580501406623
"143","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2002,"AbsLBM",629879.09993825,1000,10000,"Green","Abs_Abd",629.87909993825
"144","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2003,"AbsLBM",577710.889476245,1000,10000,"Green","Abs_Abd",577.710889476245
"145","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2004,"AbsLBM",342378.323378229,1000,10000,"Green","Abs_Abd",342.378323378229
"146","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2005,"AbsLBM",325308.580603106,1000,10000,"Green","Abs_Abd",325.308580603106
"147","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2006,"AbsLBM",340193.234685563,1000,10000,"Green","Abs_Abd",340.193234685563
"148","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2007,"AbsLBM",285126.301293136,1000,10000,"Green","Abs_Abd",285.126301293136
"149","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2008,"AbsLBM",313272.930077511,1000,10000,"Green","Abs_Abd",313.272930077511
"150","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2009,"AbsLBM",248631.528270972,1000,10000,"Green","Abs_Abd",248.631528270972
"151","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2010,"AbsLBM",365117.373552459,1000,10000,"Green","Abs_Abd",365.117373552459
"152","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2011,"AbsLBM",459080.56840358,1000,10000,"Green","Abs_Abd",459.08056840358
"153","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2012,"AbsLBM",485173.273985095,1000,10000,"Green","Abs_Abd",485.173273985095
"154","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2013,"AbsLBM",745416.504955814,1000,10000,"Green","Abs_Abd",745.416504955814
"155","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2014,"AbsLBM",621358.507196018,1000,10000,"Green","Abs_Abd",621.358507196018
"156","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2015,"AbsLBM",600736.426184843,1000,10000,"Green","Abs_Abd",600.736426184843
"157","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2016,"AbsLBM",571585.683009714,1000,10000,"Green","Abs_Abd",571.585683009714
"158","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2017,"AbsLBM",423343.187028736,1000,10000,"Green","Abs_Abd",423.343187028736
"159","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2018,"AbsLBM",371696.738782589,1000,10000,"Green","Abs_Abd",371.696738782589
"160","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2019,"AbsLBM",263837.322794912,1000,10000,"Green","Abs_Abd",263.837322794912
"161","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2020,"AbsLBM",207497.244115869,1000,10000,"Green","Abs_Abd",207.497244115869
"162","CU-6","Sockeye","Chilko_S_ES","SpnForAbd_Wild",2021,"AbsLBM",261578.895048439,1000,10000,"Green","Abs_Abd",261.578895048439
"163","CU-17","Sockeye","Chilliwack_ES","SpnForAbd_Wild",1995,"RelLBM",NA,8000,16000,NA,"Abs_Abd",NA
