"Species","CU_ID","Year","SpnForTrend_Total","SpnForTrend_Wild","DU_ID","CU_Name","CU_acro","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild"
"Chinook","CK-04",2000,446,446,"DU3","Lower Fraser River_SP_1.3","LFR-spring",446,446,NA,NA
"Chinook","CK-04",2001,703,703,"DU3","Lower Fraser River_SP_1.3","LFR-spring",703,703,NA,NA
"Chinook","CK-04",2002,512,512,"DU3","Lower Fraser River_SP_1.3","LFR-spring",512,512,NA,NA
"Chinook","CK-04",2003,480,480,"DU3","Lower Fraser River_SP_1.3","LFR-spring",480,480,NA,NA
"Chinook","CK-04",2004,202,202,"DU3","Lower Fraser River_SP_1.3","LFR-spring",202,202,NA,NA
"Chinook","CK-04",2005,1491,1491,"DU3","Lower Fraser River_SP_1.3","LFR-spring",1491,1491,NA,NA
"Chinook","CK-04",2006,1259,1259,"DU3","Lower Fraser River_SP_1.3","LFR-spring",1259,1259,NA,NA
"Chinook","CK-04",2007,1968,1968,"DU3","Lower Fraser River_SP_1.3","LFR-spring",1968,1968,NA,NA
"Chinook","CK-04",2008,234,234,"DU3","Lower Fraser River_SP_1.3","LFR-spring",234,234,NA,NA
"Chinook","CK-04",2009,631,631,"DU3","Lower Fraser River_SP_1.3","LFR-spring",631,631,NA,NA
"Chinook","CK-04",2010,1520,1520,"DU3","Lower Fraser River_SP_1.3","LFR-spring",1520,1520,NA,NA
"Chinook","CK-04",2011,941,941,"DU3","Lower Fraser River_SP_1.3","LFR-spring",941,941,NA,NA
"Chinook","CK-04",2012,624,624,"DU3","Lower Fraser River_SP_1.3","LFR-spring",624,624,NA,NA
"Chinook","CK-04",2013,224,224,"DU3","Lower Fraser River_SP_1.3","LFR-spring",224,224,NA,NA
"Chinook","CK-04",2014,383,383,"DU3","Lower Fraser River_SP_1.3","LFR-spring",383,383,NA,NA
"Chinook","CK-04",2015,460,460,"DU3","Lower Fraser River_SP_1.3","LFR-spring",460,460,NA,NA
"Chinook","CK-04",2016,238,238,"DU3","Lower Fraser River_SP_1.3","LFR-spring",238,238,NA,NA
"Chinook","CK-04",2017,320,320,"DU3","Lower Fraser River_SP_1.3","LFR-spring",320,320,NA,NA
"Chinook","CK-04",2018,144,144,"DU3","Lower Fraser River_SP_1.3","LFR-spring",144,144,NA,NA
